average_rtt,packet_loss,bits_per_second,bu_ratio,retransmits,cpu_host_total,cpu_host_system,bidirectional_duration_ms,src2dst_duration_ms,dst2src_duration_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,traffic_type,traffic_type_numeric
1602.496,13.0,518183.702761,94.81816297239,94,3.919436,3.315097,19179,19179,16800,913.2857142857144,1290.7369655687849,4670,1743.5454545454545,1915.7878464817727,6664,1866.666666666667,1468.8298063424502,4670,high,2
1576.884,12.4,879235.6071200002,91.2076439288,133,3.513828,3.024564,17087,17087,14749,854.35,1369.906730401745,5115,1553.3636363636365,1557.7516023247913,5115,1843.625,2437.885789982788,7146,high,2
1603.668,10.8,669939.985249,93.30060014751,92,3.662086,3.1237310000000003,19220,19220,16951,961.0,1313.122393782328,4319,1922.0,2034.914194205195,6898,1883.4444444444448,1475.261681118905,4319,high,2
2507.467,19.8,505362.06019799993,94.94637939802,16,6.520506,5.443272,14376,14376,12476,756.6315789473683,1183.6805692662524,4423,1437.6,1337.2512603595978,4448,1559.5,1487.6934207980198,4449,high,2
1588.9979999999994,13.4,752582.6036949998,92.47417396305,119,3.666915,3.090866,16765,16765,14439,838.2499999999999,1320.8277259275517,4898,1524.090909090909,1489.7251058195573,4898,1804.875,2364.209105901712,6960,high,2
1600.7,10.2,801998.5251430002,91.98001474857,133,3.228912,2.75489,18834,18834,16515,896.8571428571428,1286.6149884761285,4753,1712.1818181818182,1990.60668230476,6985,1835.0,1484.060308747593,4753,high,2
1578.785,11.2,732117.804435,92.67882195565,128,3.527124,2.974139,18824,18824,16451,896.3809523809523,1270.1003297452714,4657,1711.2727272727273,1928.871177186756,6764,1827.888888888889,1451.779808067019,4657,high,2
1583.585,9.6,872482.7273860001,91.27517272614,135,3.618095,3.124865,16891,16891,14568,844.5500000000003,1337.2178295566548,4914,1535.5454545454545,1511.7822835075406,4914,1821.0,2378.413937299993,6958,high,2
1580.297,12.6,757984.859721,92.42015140279,114,3.410418,2.91311,18768,18768,16400,938.4,1315.067114557076,4815,1876.8,1971.878450164265,6798,1822.2222222222224,1515.36800627585,4815,high,2
1619.866,11.6,883653.953801,91.16346046199,164,3.72658,3.181094,14844,14844,12454,706.8571428571429,1041.3236425681637,3767,1349.4545454545453,1133.4730136740234,3793,1383.7777777777774,1261.164320952843,3793,high,2
1596.794,13.2,815924.840459,91.84075159541,108,3.811134,3.110225,18410,18410,15935,876.6666666666665,1247.0701397007842,4738,1673.6363636363635,1453.959302919258,5168,1770.5555555555554,1436.6474089969947,4738,high,2
1543.215,13.6,862046.18551,91.3795381449,192,3.388179,3.005852,16774,16774,14456,882.8421052631578,1374.850952049304,4987,1677.4,1535.8609022665796,4987,1807.0,2413.681361382591,7019,high,2
1677.8629999999994,9.0,353722.540777,96.46277459223,101,3.427245,2.703167,15498,15498,12644,815.6842105263156,1295.0015037585256,4866,1549.8,1473.6761139710752,4891,1580.5,1655.8944065713504,4892,high,2
